Lp;Nazwa jednostki;Regon;Kraj;Województwo;Powiat;Gmina;Miejscowo??;Kod pocztowy;Ulica;Numer budynku;Numer lokalu;Kraj;Województwo;Powiat;Gmina;Miejscowo??;Kod pocztowy;Ulica;Numer budynku;Numer lokalu;Teren dzia?ania;Telefon kontaktowy;Adres email do korespondencji;Okres dzia?ania od;Okres dzia?ania do;Liczebno?? jednostki;Okres pozostawania w gotowo?ci w ci?gu roku od 1;Okres pozostawania w gotowo?ci w ci?gu roku do 1;Czas pozostawania w gotowo?ci w ci?gu doby (w godzinach) 1;Czas osi?gni?cia gotowo?ci (w minutach) 1;Liczebno?? jednostki 1;Rodzaj jednostki;Rodzaj ratownictwa
1090;OSP Winiary;357162507;PL;MA?OPOLSKIE;wielicki;Gdów;Winiary;32-420;;100;;PL;MA?OPOLSKIE;wielicki;Gdów;Winiary;32-420;;100;;MA?OPOLSKIE/wielicki/Wszystkie;696422280;ospwiniary@pspwieliczka.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;25;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne 
1091;LOTNISKOWA S?U?BA RATOWNICZO-GA?NICZA;351117055;PL;MA?OPOLSKIE;krakowski;Zabierzów;Balice;32-083;ul. kpt. Mieczys?awa Medweckiego;1;;PL;MA?OPOLSKIE;krakowski;Zabierzów;Balice;32-083;ul. kpt. Mieczys?awa Medweckiego;1;;MA?OPOLSKIE/krakowski/Wszystkie;126393101;AIRPORT@KRAKOWAIRPORT.PL;;;;1 stycze?;31 grudzie?;24;pa?.24;55;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne , Ratownictwo lotnicze 
1092;OSP Wola Batorska;357170205;PL;MA?OPOLSKIE;wielicki;Niepo?omice;Wola Batorska;32-007;;25;;PL;MA?OPOLSKIE;wielicki;Niepo?omice;Wola Batorska;32-007;;25;;MA?OPOLSKIE/wielicki/Wszystkie;501089310;ospwolabatorska@pspwieliczka.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;28;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne 
1093;OSP CZERNA;350634512;PL;MA?OPOLSKIE;krakowski;Krzeszowice;Czerna;32-065; CZERNA;325;;PL;MA?OPOLSKIE;krakowski;Krzeszowice;Czerna;32-065; CZERNA;325;;MA?OPOLSKIE/krakowski/Wszystkie;122821507;MARCIN-M-93@WP.PL;;;;1 stycze?;31 grudzie?;24;pa?.24;20;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1094;OSP Zabierzów Boche?ski;356347328;PL;MA?OPOLSKIE;wielicki;Niepo?omice;Zabierzów Boche?ski;32-007;;358;;PL;MA?OPOLSKIE;wielicki;Niepo?omice;Zabierzów Boche?ski;32-007;;358;;MA?OPOLSKIE/wielicki/Wszystkie;504446031;ospzabierzowbochenski@pspwieliczka.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;27;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne 
1095;OSP CZERNICHÓW;351399830;PL;MA?OPOLSKIE;krakowski;Czernichów;Czernichów;32-070;ul. Franciszka Stefczyka;33;;PL;MA?OPOLSKIE;krakowski;Czernichów;Czernichów;32-070;ul. Franciszka Stefczyka;33;;MA?OPOLSKIE/krakowski/Czernichów (gmina wiejska);602299259;WRONAOSP@INTERIA.EU;;;;1 stycze?;31 grudzie?;24;pa?.24;31;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1096;OSP CZU?ÓWEK;356317072;PL;MA?OPOLSKIE;krakowski;Czernichów;Czu?ówek;32-061; CZU?ÓWEK;97;;PL;MA?OPOLSKIE;krakowski;Czernichów;Czu?ówek;32-061; CZU?ÓWEK;97;;MA?OPOLSKIE/krakowski/Czernichów (gmina wiejska);512270160;MICHALSIUDEK@INTERIA.PL;;;;1 stycze?;31 grudzie?;24;pa?.24;26;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1097;OSP GOSZCZA;356382307;PL;MA?OPOLSKIE;krakowski;Kocmyrzów-Luborzyca;Goszcza;32-010; GOSZCZA;8;;PL;MA?OPOLSKIE;krakowski;Kocmyrzów-Luborzyca;Goszcza;32-010; GOSZCZA;8;;MA?OPOLSKIE/Wszystkie;509651588;LUKASZ-DUTKIEWICZ@WP.PL;;;;1 stycze?;31 grudzie?;24;pa?.24;25;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo poszukiwawcze 
1098;OSP Pos?dza;351425992;PL;MA?OPOLSKIE;proszowicki;Koniusza;Pos?dza;32-104;;138;;PL;MA?OPOLSKIE;proszowicki;Koniusza;Pos?dza;32-104;;138;;MA?OPOLSKIE/proszowicki/Wszystkie;123853170;pskproszowice@straz.krakow.pl;;;;;;24;pa?.24;36;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1099;OSP JA?KOWICE;356268876;PL;MA?OPOLSKIE;krakowski;Skawina;Ja?kowice;32-051; JA?KOWICE;18;;PL;MA?OPOLSKIE;krakowski;Skawina;Ja?kowice;32-051; JA?KOWICE;18;;MA?OPOLSKIE/krakowski/Skawina (obszar wiejski);798231860;OSPJASKOWICE@INTERIA.PL;;;;1 stycze?;31 grudzie?;24;pa?.24;22;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1100;Ochotnicza Straz Po?arna w Brze?ciu;292420750;PL;?WI?TOKRZYSKIE;j?drzejowski;Wodzis?aw;Brze?cie;28-330;;68B;;PL;?WI?TOKRZYSKIE;j?drzejowski;Wodzis?aw;Brze?cie;28-330;;68B;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;692797071;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;19;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1101;OSP JERZMANOWICE;350935372;PL;MA?OPOLSKIE;krakowski;Jerzmanowice-Przeginia;Jerzmanowice;32-048;ul. Rajska;3;;PL;MA?OPOLSKIE;krakowski;Jerzmanowice-Przeginia;Jerzmanowice;32-048;ul. Rajska;3;;MA?OPOLSKIE/krakowski/Jerzmanowice-Przeginia (gmina wiejska);698356339;OSPJERZMANOWICE@JERZMANOWCE-PRZEGINIA.PL;;;;1 stycze?;31 grudzie?;24;pa?.24;32;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1102;Ochotnicza Straz Po?arna w Imielnie;292390351;PL;?WI?TOKRZYSKIE;j?drzejowski;Imielno;Imielno;28-313;ul. Stra?acka;7;;PL;?WI?TOKRZYSKIE;j?drzejowski;Imielno;Imielno;28-313;ul. Stra?acka;7;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;505640610;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;20;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1103;Ochotnicza Straz Po?arna w Jaronowicach;292384215;PL;?WI?TOKRZYSKIE;j?drzejowski;Nag?owice;Jaronowice;28-362;;122;;PL;?WI?TOKRZYSKIE;j?drzejowski;Nag?owice;Jaronowice;28-362;;122;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;790670005;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;16;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1104;Ochotnicza Straz Po?arna w Krzci?cicach;292392901;PL;?WI?TOKRZYSKIE;j?drzejowski;S?dziszów;Krzci?cice;28-340;;40;;PL;?WI?TOKRZYSKIE;j?drzejowski;S?dziszów;Krzci?cice;28-340;;40;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;607705551;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;23;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1105;Ochotnicza Straz Po?arna  Lasków;292389365;PL;?WI?TOKRZYSKIE;j?drzejowski;J?drzejów;Lasków;28-300;;46;;PL;?WI?TOKRZYSKIE;j?drzejowski;J?drzejów;Lasków;28-300;;46;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;504949511;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;23;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1106;Komenda Powiatowa Pa?stwowej Stra?y Po?arnej w J?drzejowie/PM S?dziszów;290707849;PL;?WI?TOKRZYSKIE;j?drzejowski;J?drzejów;J?drzejów;28-300;ul. W?adys?awa Stanis?awa Reymonta;5;;PL;?WI?TOKRZYSKIE;j?drzejowski;J?drzejów;J?drzejów;28-300;ul. W?adys?awa Stanis?awa Reymonta;5;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;516293934;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;mar.24;65;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
1107;Ochotnicza Straz Po?arna  Ma?ogoszcz;292688688;PL;?WI?TOKRZYSKIE;j?drzejowski;Ma?ogoszcz;Ma?ogoszcz;28-366;ul. Warszawska;1;;PL;?WI?TOKRZYSKIE;j?drzejowski;Ma?ogoszcz;Ma?ogoszcz;28-366;ul. Warszawska;1;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;664085955;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;19;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1108;Ochotnicza Straz Po?arna  Mierzawa;291188682;PL;?WI?TOKRZYSKIE;j?drzejowski;Wodzis?aw;Mierzawa;28-330;;19;;PL;?WI?TOKRZYSKIE;j?drzejowski;Wodzis?aw;Mierzawa;28-330;;19;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;509468139;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;33;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1109;Ochotnicza Straz Po?arna  Oksa;292416211;PL;?WI?TOKRZYSKIE;j?drzejowski;Oksa;Oksa;28-363;ul. J?drzejowska;14;;PL;?WI?TOKRZYSKIE;j?drzejowski;Oksa;Oksa;28-363;ul. J?drzejowska;14;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;609835903;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;31;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1110;Ochotnicza Straz Po?arna  Nawarzyce;292403852;PL;?WI?TOKRZYSKIE;j?drzejowski;Wodzis?aw;Nawarzyce;28-330;;118;;PL;?WI?TOKRZYSKIE;j?drzejowski;Wodzis?aw;Nawarzyce;28-330;;118;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;726127118;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;25;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1111;Ochotnicza Stra? Po?arna w Sie?sku;292427930;PL;?WI?TOKRZYSKIE;j?drzejowski;S?upia;Sie?sko;28-350;;107;;PL;?WI?TOKRZYSKIE;j?drzejowski;S?upia;Sie?sko;28-350;;106;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;693837862;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;31;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1112;JRG Proszowice;3515727;PL;MA?OPOLSKIE;proszowicki;Proszowice;Proszowice;32-043;ul. 3 Maja;140;;PL;MA?OPOLSKIE;proszowicki;Proszowice;Proszowice;32-043;ul. 3 Maja;140;;MA?OPOLSKIE/proszowicki/Wszystkie;123853170;kppspproszowice@straz.krakow.pl;;;;;;24;sty.24;37;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
1113;OSP JEZIORZANY;357188270;PL;MA?OPOLSKIE;krakowski;Liszki;Jeziorzany;32-060; JEZIORZANY;3;;PL;MA?OPOLSKIE;krakowski;Liszki;Jeziorzany;32-060; JEZIORZANY;3;;MA?OPOLSKIE/krakowski/Liszki (gmina wiejska);122808492;OSPJEZIORZANY@ONET.EU;;;;1 stycze?;31 grudzie?;24;pa?.24;40;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1114;Ochotnicza Stra? Po?arna w Prz?s?awiu;292387580;PL;?WI?TOKRZYSKIE;j?drzejowski;J?drzejów;Prz?s?aw;28-300;;35;;PL;?WI?TOKRZYSKIE;j?drzejowski;J?drzejów;Prz?s?aw;28-300;;35;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;609082449;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;35;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1115;OSP KOBYLANY;356265814;PL;MA?OPOLSKIE;krakowski;Zabierzów;Kobylany;32-082;ul. ?w. Floriana;10;;PL;MA?OPOLSKIE;krakowski;Zabierzów;Kobylany;32-082;ul. ?w. Floriana;10;;MA?OPOLSKIE/krakowski/Zabierzów (gmina wiejska);506200602;OSPKOBYLANY@WP.PL;;;;1 stycze?;31 grudzie?;24;pa?.24;29;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
1116;Ochotnicza Stra? Po?arna w Ro?nicy;292397844;PL;?WI?TOKRZYSKIE;j?drzejowski;S?upia;Ro?nica;28-350;;209;;PL;?WI?TOKRZYSKIE;j?drzejowski;S?upia;Ro?nica;28-350;;209;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;726998590;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;23;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1117;Ochotnicza Stra? Po?arna w Warzynie;292419706;PL;?WI?TOKRZYSKIE;j?drzejowski;Nag?owice;Warzyn Drugi;28-362;;28;;PL;?WI?TOKRZYSKIE;j?drzejowski;Nag?owice;Warzyn Drugi;28-362;;26;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;500122971;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;31;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1118;Ochotnicza Stra? Po?arna w Wodzis?awiu;291632533;PL;?WI?TOKRZYSKIE;j?drzejowski;Wodzis?aw;Wodzis?aw;28-330;ul. Ko?cielna;6;;PL;?WI?TOKRZYSKIE;j?drzejowski;Wodzis?aw;Wodzis?aw;28-330;ul. Ko?cielna;6;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;600349154;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;27;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1119;Ochotnicza Stra? Po?arna w Nag?owicach;292729772;PL;?WI?TOKRZYSKIE;j?drzejowski;Nag?owice;Nag?owice;28-362;ul. Miko?aja Reja;17;;PL;?WI?TOKRZYSKIE;j?drzejowski;Nag?owice;Nag?owice;28-362;ul. Miko?aja Reja;17;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;533604206;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;32;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1120;Ochotnicza Stra? Po?arna w W?gleszynie;292413112;PL;?WI?TOKRZYSKIE;j?drzejowski;Oksa;W?gleszyn;28-363;;84;;PL;?WI?TOKRZYSKIE;j?drzejowski;Oksa;W?gleszyn;28-363;;84;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;667209799;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;22;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1121;Ochotnicza Stra? Po?arna w S?dziszowie;292392924;PL;?WI?TOKRZYSKIE;j?drzejowski;S?dziszów;S?dziszów;28-340;ul. J?drzejowska;10;;PL;?WI?TOKRZYSKIE;j?drzejowski;S?dziszów;S?dziszów;28-340;ul. J?drzejowska;10;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;500757942;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;22;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1122;OSP KRZESZOWICE;351225030;PL;MA?OPOLSKIE;krakowski;Krzeszowice;Krzeszowice;32-065;ul. ?wi?tego Floriana;3;;PL;MA?OPOLSKIE;krakowski;Krzeszowice;Krzeszowice;32-065;ul. ?wi?tego Floriana;3;;MA?OPOLSKIE/krakowski/Krzeszowice (miasto);505620099;OSPKRZESZOWICE@GMAIL.COM;;;;1 stycze?;31 grudzie?;24;pa?.24;23;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1123;Ochotnicza Stra? Po?arna w Sobkowie;292425629;PL;?WI?TOKRZYSKIE;j?drzejowski;Sobków;Sobków;28-305;ul. Le?na;2;;PL;?WI?TOKRZYSKIE;j?drzejowski;Sobków;Sobków;28-305;ul. Le?na;2;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;721270595;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;25;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1124;Ochotnicza Stra? Po?arna w Koz?owie;292688642;PL;?WI?TOKRZYSKIE;j?drzejowski;Ma?ogoszcz;Koz?ów;28-366;;180;;PL;?WI?TOKRZYSKIE;j?drzejowski;Ma?ogoszcz;Koz?ów;28-366;;180;;?WI?TOKRZYSKIE/j?drzejowski/Wszystkie;663608063;psk.jedrzejow@straz.kielce.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;18;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1125;OSP KRZ?CIN;357947906;PL;MA?OPOLSKIE;krakowski;Skawina;Krz?cin;32-051;ul. S?oneczna;11;;PL;MA?OPOLSKIE;krakowski;Skawina;Krz?cin;32-051;ul. S?oneczna;11;;MA?OPOLSKIE/krakowski/Skawina (obszar wiejski);886241461;OSPKRZECIN@ONET.EU;;;;1 stycze?;31 grudzie?;24;pa?.24;20;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1126;OSP ?mi?owice;350903290;PL;MA?OPOLSKIE;proszowicki;Nowe Brzesko;?mi?owice;32-120;;16;;PL;MA?OPOLSKIE;proszowicki;Nowe Brzesko;?mi?owice;32-120;;16;;MA?OPOLSKIE/proszowicki/Wszystkie;123853170;pskproszowice@straz.krakow.pl;;;;;;24;pa?.24;39;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1127;OSP Wierzbno;350991519;PL;MA?OPOLSKIE;proszowicki;Koniusza;Wierzbno;32-104;;36;;PL;MA?OPOLSKIE;proszowicki;Koniusza;Wierzbno;32-104;;36;;MA?OPOLSKIE/proszowicki/Wszystkie;123853170;pskproszowice@straz.krakow.pl;;;;;;24;pa?.24;47;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1128;OSP LISZKI;357240584;PL;MA?OPOLSKIE;krakowski;Liszki;Liszki;32-060; LISZKI;4;;PL;MA?OPOLSKIE;krakowski;Liszki;Liszki;32-060; LISZKI;4;;MA?OPOLSKIE/krakowski/Liszki (gmina wiejska);519659069;OSPLISZKI@ONET.EU;;;;1 stycze?;31 grudzie?;24;pa?.24;25;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1129;OSP ?UCZYCE;356381064;PL;MA?OPOLSKIE;krakowski;Kocmyrzów-Luborzyca;?uczyce;32-010; ?UCZYCE;117;;PL;MA?OPOLSKIE;krakowski;Kocmyrzów-Luborzyca;?uczyce;32-010; ?UCZYCE;117;;MA?OPOLSKIE/krakowski/Kocmyrzów-Luborzyca (gmina wiejska);507022179;OSP.LUCZYCE@GMAIL.COM;;;;1 stycze?;31 grudzie?;24;pa?.24;30;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1130;Us?ugi Ratownicze Jerzy Prussak;341036130;PL;KUJAWSKO-POMORSKIE;mogile?ski;Mogilno;Mogilno;88-300; Rynek ;7;2;PL;KUJAWSKO-POMORSKIE;mogile?ski;Mogilno;Mogilno;88-300;;7;2;KUJAWSKO-POMORSKIE/mogile?ski/Mogilno (miasto);661 472 789;ratownictwowodnej.prussak@wp.pl;;;;1 stycze?;31 grudzie?;24;15/24;3;Podmioty uprawnione do wykonywania ratownictwa wodnego;Kwalifikowana pierwsza pomoc , Ratownictwo wodne , Ratownictwo poszukiwawcze 
1131;OSP MASZYCE;351589280;PL;MA?OPOLSKIE;krakowski;Ska?a;Maszyce;32-077; MASZYCE;47;;PL;MA?OPOLSKIE;krakowski;Ska?a;Maszyce;32-077; MASZYCE;47;;MA?OPOLSKIE/krakowski/Ska?a (obszar wiejski);501212179;MAREKBARAN74@GMAIL.COM;;;;1 stycze?;31 grudzie?;24;pa?.24;35;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1132;OSP MICHA?OWICE;356272837;PL;MA?OPOLSKIE;krakowski;Micha?owice;Micha?owice;32-091; KRAKOWSKA;209;;PL;MA?OPOLSKIE;krakowski;Micha?owice;Micha?owice;32-091; KRAKOWSKA;209;;MA?OPOLSKIE/krakowski/Micha?owice (gmina wiejska);796720773;TABIS.HUNTER@ONET.PL;;;;1 stycze?;31 grudzie?;24;pa?.24;21;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1133;OSP MI?KINIA;357126954;PL;MA?OPOLSKIE;krakowski;Krzeszowice;Mi?kinia;32-065; MI?KINIA;308;;PL;MA?OPOLSKIE;krakowski;Krzeszowice;Mi?kinia;32-065; MI?KINIA;308;;MA?OPOLSKIE/krakowski/Krzeszowice (obszar wiejski);508305076;MJAMES998@GMAIL.COM;;;;1 stycze?;31 grudzie?;24;pa?.24;19;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1134;OSP MI?OCICE;357177561;PL;MA?OPOLSKIE;krakowski;S?omniki;Mi?ocice;32-090; MI?OCICE;2;;PL;MA?OPOLSKIE;krakowski;S?omniki;Mi?ocice;32-090; MI?OCICE;2;;MA?OPOLSKIE/krakowski/S?omniki (obszar wiejski);693107344;XYZ39@POCZTA.FM;;;;1 stycze?;31 grudzie?;24;pa?.24;26;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1135;OSP MNIKÓW;357220682;PL;MA?OPOLSKIE;krakowski;Liszki;Mników;32-084; MNIKÓW;249;;PL;MA?OPOLSKIE;krakowski;Liszki;Mników;32-084; MNIKÓW;249;;MA?OPOLSKIE/krakowski/Liszki (gmina wiejska);695042002;OSPMNIKOW@WP.PL;;;;1 stycze?;31 grudzie?;24;pa?.24;21;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1136;OSP MODLNICA;357236714;PL;MA?OPOLSKIE;krakowski;Wielka Wie?;Modlnica;32-085;ul. ?w. Wojciecha;60;;PL;MA?OPOLSKIE;krakowski;Wielka Wie?;Modlnica;32-085;ul. ?w. Wojciecha;60;;MA?OPOLSKIE/krakowski/Wielka Wie? (gmina wiejska);503030777;OSPKOMENDANTGMINNY@WIELKA-WIES.PL;;;;1 stycze?;31 grudzie?;24;pa?.24;21;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1137;OSP MOGILANY;350118124;PL;MA?OPOLSKIE;krakowski;Mogilany;Mogilany;32-031;ul. Krakowska;5;;PL;MA?OPOLSKIE;krakowski;Mogilany;Mogilany;32-031;ul. Krakowska;5;;MA?OPOLSKIE/krakowski/Mogilany (gmina wiejska);534777502;TOMEK_K1972@O2.PL;;;;1 stycze?;31 grudzie?;24;pa?.24;36;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
1138;OSP OLSZOWICE;356263755;PL;MA?OPOLSKIE;krakowski;?wi?tniki Górne;Olszowice;32-040;ul. ?wi?tego Floriana;1;;PL;MA?OPOLSKIE;krakowski;?wi?tniki Górne;Olszowice;32-040;ul. ?wi?tego Floriana;1;;MA?OPOLSKIE/krakowski/Mogilany (gmina wiejska);792854998;OLSZOWICE@STRAZAK.COM;;;;1 stycze?;31 grudzie?;24;pa?.24;30;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
